kind,name,lat,lng
Fuse,FUSE_907,32.831318,-106.075079
Fuse,FUSE_908,32.831308,-106.075078
Fuse,FUSE_895,32.829796,-106.074566
Fuse,FUSE_412,32.980625,-105.908484
Fuse,FUSE_413,32.981622,-105.905083
Fuse,FUSE_415,32.985752,-105.89236
Fuse,FUSE_401,32.989716,-105.865813
Fuse,FUSE_428,33.029199,-105.841373
Fuse,FUSE_424,33.014257,-105.847989
Fuse,FUSE_9375,32.961671,-105.80247
Fuse,FUSE_5128,32.959775,-105.78314
Fuse,FUSE_8881,32.941997,-105.82001
Fuse,TS_8907,32.939208,-105.823801
Fuse,FUSE_8890,32.943051,-105.818808
Fuse,FUSE_404,32.990942,-105.87303
Fuse,FUSE_407,32.98985,-105.87985
Fuse,FUSE_418,32.987044,-105.888365
Fuse,FUSE_416,32.986347,-105.890561
Fuse,FUSE_9371,32.98513,-105.894636
Fuse,FUSE_3020,32.984994,-105.897937
Fuse,FUSE_5094,32.808126,-105.978141
Fuse,FUSE_3033,32.640587,-106.00756
Fuse,FUSE_465,32.724547,-105.984208
Fuse,FUSE_8917,32.798497,-105.960713
Fuse,FUSE_8920,32.797777,-105.95636
Fuse,FUSE_7571,32.809993,-105.976295
Fuse,FUSE_823,32.96736,-105.992103
Fuse,FUSE_826,32.975576,-105.992273
Fuse,FUSE_828,32.978341,-105.992286
Fuse,FUSE_7608,32.983433,-105.992924
Fuse,FUSE_9341,32.986101,-105.994306
Fuse,FUSE_834,33.011013,-106.027433
Fuse,FUSE_836,33.01644,-106.027718
Fuse,FUSE_842,33.04023,-106.027838
Fuse,FUSE_9440,33.061122,-106.045618
Fuse,FUSE_853,33.062199,-106.045416
Fuse,FUSE_851,33.06006,-106.045649
Fuse,FUSE_838,33.022875,-106.027775
Fuse,FUSE_7572,33.074895,-106.080089
Fuse,FUSE_9337,33.07701,-106.085462
Fuse,FUSE_9488,33.07715,-106.095197
Fuse,FUSE_9450,33.07716,-106.09811
Fuse,FUSE_5116,33.093041,-106.062493
Fuse,FUSE_8413,33.091695,-106.06674
Fuse,FUSE_877,33.13702,-106.046392
Fuse,FUSE_880,33.163441,-106.050284
Fuse,FUSE_883,33.177652,-106.053047
Fuse,FUSE_884,33.200396,-106.056853
Fuse,FUSE_867,33.363347,-106.079419
Fuse,FUSE_5517,33.386285,-106.074588
Fuse,FUSE_5117,33.331124,-106.080951
Fuse,FUSE_5126,33.30385,-106.0744
Fuse,FUSE_889,33.277965,-106.069876
Fuse,FUSE_888,33.254865,-106.066005
Fuse,FUSE_887,33.239352,-106.063184
Fuse,FUSE_886,33.228772,-106.06148
Fuse,FUSE_5114,33.120166,-106.043137
Fuse,FUSE_39281,33.076495,-106.057949
Fuse,FUSE_1190,33.076621,-106.061392
Fuse,FUSE_8889,33.076743,-106.077675
Fuse,FUSE_9331,33.003881,-106.012673
Fuse,FUSE_830,33.003914,-106.01062
Fuse,FUSE_827,32.977059,-105.992344
