lat,lng,sv,date
32.974631,-105.935634,False,
32.975695,-105.934756,False,
32.976687,-105.933945,False,
32.977764,-105.933062,False,
32.979336,-105.931770,False,
32.980207,-105.931077,True,2024-04
32.981317,-105.930163,True,2024-04
32.983167,-105.928640,False,
32.983478,-105.926000,False,
32.983703,-105.923333,False,
32.983859,-105.921079,True,2024-04
32.984011,-105.918790,True,2024-04
32.983860,-105.917085,False,
32.982815,-105.913314,False,
32.981765,-105.910944,True,2024-04
32.980625,-105.908484,False,
32.981198,-105.906897,True,2024-04
32.981763,-105.905235,True,2024-04
32.982234,-105.903649,True,2024-04
32.983010,-105.901296,True,2024-04
32.983378,-105.900112,True,2024-04
32.984450,-105.896804,False,
32.985130,-105.894636,False,
32.985555,-105.893276,False,
32.986386,-105.890644,False,
32.987139,-105.888400,False,
32.987658,-105.886669,False,
32.988360,-105.884481,False,
32.989022,-105.882349,True,2024-04
32.989447,-105.881052,True,2024-04
32.989850,-105.879850,False,
32.990169,-105.878885,False,
32.990400,-105.877937,True,2024-04
32.991300,-105.875185,False,
32.991150,-105.874262,True,2024-04
32.990669,-105.871371,True,2024-04
32.989966,-105.867118,False,
32.989479,-105.864073,False,
32.989007,-105.861510,False,
32.988693,-105.859666,False,
32.988283,-105.856832,True,2024-04
32.988088,-105.855296,True,2024-04
32.987764,-105.852754,False,
32.987409,-105.849893,False,
32.986951,-105.846486,False,
32.986386,-105.844712,False,
32.986490,-105.842802,False,
32.986051,-105.839232,True,2024-04
32.986125,-105.835932,False,
32.986140,-105.834920,False,
32.986238,-105.830680,False,
32.986297,-105.828128,False,
32.987651,-105.827634,False,
32.989546,-105.829076,False,
32.991410,-105.830494,False,
32.992997,-105.831674,False,
32.994884,-105.833131,False,
32.996376,-105.834270,False,
32.998482,-105.835863,False,
33.000732,-105.837584,False,
33.003819,-105.839928,False,
33.004003,-105.840068,False,
33.006740,-105.842135,False,
33.007997,-105.843085,False,
33.009201,-105.843999,False,
33.010497,-105.844999,False,
33.011968,-105.846116,False,
33.014232,-105.847841,False,
33.016068,-105.849222,False,
33.018467,-105.851045,False,
33.019593,-105.850028,False,
33.020559,-105.849156,False,
33.021688,-105.848137,False,
33.022860,-105.847077,False,
33.023496,-105.846476,False,
33.024417,-105.845649,True,2024-04
33.025826,-105.844361,True,2024-04
